tweet,label
help! i'm being haunted by dead people! (my dissertations),sarcastic
my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.,sarcastic
I've been doing physics for 40 minutes I think I deserve a break 😂😂😂😭 I'm never going to get it all done at this rate,sarcastic
Billy Gunn sorta relevant for the first time in years...,sarcastic
wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics,sarcastic
"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick",sarcastic
"🌶 Spiced Coconut curry 🥥  . A weekend spent with friends brings a week of content... or something like that 😜  . Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u",sarcastic
considering crowd surfing the next time the hallways are too packed,sarcastic
Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure,sarcastic
You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,sarcastic
What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa,sarcastic
@WalesOnline Riveting news.,sarcastic
"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it... Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much",sarcastic
okay but like the say so song ain’t that bad. I’m unironically jam to it lmao,sarcastic
"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ❤️",sarcastic
Tinnitus is my favourite thing ever I love it. So loud so atmospheric https://t.co/mNJw5GvPzy,sarcastic
thanks @SovietWomble for ratting my location out on stream and then embarrassing me 😂 it made my day though https://t.co/3b7Cjql2GO,sarcastic
love living in a capitalist society where i look forward to getting a surgery where i’m legit GETTING AN INTERNAL BODY PART REMOVED bc it means i’ll get a few days off from work xoxo,sarcastic
i love ingesting poison and then wondering why my tummy is rumbling the next morning,sarcastic
Beautician and the Beast (1997). Best Timothy Dalton film of all time.,sarcastic
"@FeeyaCruz Ahahahaha the Feeya I know and love, miss u 😢",sarcastic
absolutely love waking up to the fire alarm at 7 am 😍,sarcastic
fully vaxxed feeling very girlboss,sarcastic
I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,sarcastic
"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l",sarcastic
The typhoon flew over me today absolutely fuming they forgot to bomb me,sarcastic
love getting assignments at 6:25pm on a Friday!!,sarcastic
Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,sarcastic
@rits_meg @freedomsenpai hot loli,sarcastic
Between Mikey cooking and Didi cooking for me I relaxing 😎  cooking?? I don’t know her,sarcastic
Ah gotta love that Friday morning burnt out feeling 🌄,sarcastic
@PFTompkins Her family should definitely not seek mental health guidance.  😬,sarcastic
How I flirt with boys   Boy: “Hey I saw you from across the room and had to come over”  Me: “Wow you’re super observant. Do you have 20/20 vision?”,sarcastic
Been trying to get my boyfriends attention. Let’s see how long it takes for him to see this tweet tho.,sarcastic
My work email isn’t working so I can just log off for the day right? 🙄,sarcastic
watching olympic womens beach volleyball for the plot,sarcastic
there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed. 😑,sarcastic
"cold ears? take out one AirPod, leave it by the stove, and forget about it for 20 minutes 🤗",sarcastic
Do the #Hokies really have to play 5 against 6 tonight? Come on stripes,sarcastic
Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit,sarcastic
"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc",sarcastic
how do I get my boyfriend in a maid costume?,sarcastic
@DonaldJTrumpJr If only he had a press Corp in the house...oh wait! Shut up Jr! Time to get fitted for those lovely orange jumpsuits! If you can't be orange anymore at least you can wear it!!!,sarcastic
Wtf is a Justin Herbert,sarcastic
"""He's not welcome in a tolerant place like London"" @emmadentcoad  on the Presidential visit on @BBCRadio4 The irony in that comment... #r4bh",sarcastic
"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",sarcastic
thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life,sarcastic
2 busy working 2 care,sarcastic
Update: they’ve finally closed the campus which means I wasted my day going in and waiting on lectures 🙃 https://t.co/kBTOqNpX3Z,sarcastic
STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.,sarcastic
I just don’t think it’s too much to have a perfect life with absolutely no problems 🤷🏻‍♀️,sarcastic
The control button just fell off my laptop. How symbolic for my life.,sarcastic
"make it illegal to say/write ""Dems in disarray"" on account of it being stupid as fuck",sarcastic
a level tudor history can do one,sarcastic
Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow,sarcastic
ugh I have to send an email??? how about I just quit!!!!!,sarcastic
"Day 3. Luggage arrived, thanks @AirFranceFR. Non random Hungarian underwear. Talk delivered. Science sated. #metaxa http://t.co/6KPjLezQOF",sarcastic
went to check out the bios of the (exclusively) hipster dudes that work in a rival boutique goods store and found out they all traveled internationally during the pandemic 🙃🙃🙃,sarcastic
So in other news I just held the door open for Bam Adebayo &amp; then I fell down the stairs &amp; I think I broke my finger.. ya I'm THAT smooth,sarcastic
I can't believe today is the last day we can be gay.,sarcastic
did you actually fly on a plane if you didn’t post a picture of the view from your window?,sarcastic
"Seeing as Kanye West has a range of clothing with Gap, how about me and you do a collab @FandFclothing",sarcastic
i love jumping on zoom meetings where everyone is talking about their kids &amp; i'm stuffing my face with taco bell,sarcastic
it’s always the girls I don’t even know that wanna talk about me 24/7 :) I love my fans :),sarcastic
@igreen95 thx for the play by play,sarcastic
who thinks me and sam should start a band called 'teeth at midnight' 🦷🌙,sarcastic
omg there’s a sheet of ice in front of my school. should I slip and fall?,sarcastic
I wish that grilled cheese helped you get that summer bod,sarcastic
I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!,sarcastic
@andy_mansell72 @VicOtley @garry_whu @NiaAnts @davidschneider Finally someone is speaking up for the billionaires.,sarcastic
"@mjborshell @garygilligan Hasn't he opened a few new hospitals? Oh sorry, maybe it was a new first aid box.",sarcastic
yeah your girl is fine but does she pass out while giving blood,sarcastic
"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",sarcastic
Accidentally made a friend in ASL today. I hate when that happens.,sarcastic
"@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",sarcastic
Kind of rude of my stomach to still make whale noises after I’ve given it a whole protein bar,sarcastic
Because of #Trump I now don't have to worry about other countries making fun of me for being fat! 🍩🍫🍰🍕 #Thankstotrump #America,sarcastic
Overthinking everything in life really takes a toll on you,sarcastic
Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,sarcastic
I’ve seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available 🤔,sarcastic
@SuspendThePres But what were the ratings??  (Replied to his Tweet with the same thing.),sarcastic
dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,sarcastic
@MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,sarcastic
Taxes  are just the best and I cannot wait to pay more 😇🥰🥺,sarcastic
"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service! 😪",sarcastic
alright I’m ready for some march madness🏀🔥,sarcastic
I still can’t believe England won the World Cup,sarcastic
dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,sarcastic
wouldn’t it be cool if i could spontaneously combust,sarcastic
Efy is great,sarcastic
@sonofsama1 @Santandave1 you’re trash,sarcastic
cold queso is so much better than warm queso https://t.co/5TaMe4aSO6,sarcastic
Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK,sarcastic
It’s really very selfish of Silverstone to be saying the 2022 Grand Prix is 1/7-3/7 cause my holiday year starts on 1/7 and I would have to use a day of this years holiday allowance to go. I should have been consulted really 😵‍💫😵‍💫😵‍💫,sarcastic
"""are you experiencing suicidal or homicidal ideation?"" ""only while trying to talk to a human when I call @Walgreens pharmacy""",sarcastic
Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,sarcastic
"I’m sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I’m leaving you on read. 🙃",sarcastic
wow i love only ever buying gray and striped shirts,sarcastic
no more instagram. we must all return to scrapbooks.,sarcastic
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",sarcastic
Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face,sarcastic
"I hurt my foot like 3 days ago,  I have no idea how, but it hurts to put pressure on it. Love that for me",sarcastic
"me: trying to sleep slightly earlier than usual bc I feel like shit  my friend, texting the group chat 13 separate times at nearly 4am: hello I don’t think so! how abt I tell u abt how bad things are going instead :)",sarcastic
Thank you to my apartment complex for consistently cutting the grass at 8 am every Thursday for ~5 hours. It’s definitely not super obnoxious or bothersome ☺️☺️,sarcastic
"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",sarcastic
"Sometimes I feel like all this effort is just like sticking diamond encrusted alloys on a knackered Corsa. I mean, shit is what it is at the end of the day.",sarcastic
a single man directed by tom ford simultaneously resurrected me from death only to brutally murder me once more.,sarcastic
"Hey Siri, how do I stop simping?",sarcastic
we love mixed signals🙄,sarcastic
Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????,sarcastic
Wow Bdubs can bench press 150 kilometers,sarcastic
"Nothing screams “I’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.",sarcastic
"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",sarcastic
@KhoaVuUmn Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this,sarcastic
A wrong impression is once again my specialty,sarcastic
if trees would simply stop producing flammable leaves climate change would not be an issue,sarcastic
haven’t written in months cuz there are no male teachers to impress 😣,sarcastic
hey quick question is it fall or spring???,sarcastic
when the toilet seat is warmed up for you&gt;&gt;&gt;,sarcastic
@PlayStationUK Nice,sarcastic
me and noah forgot that today is our anniversary. if that isn’t couple goals then idk what is 😌,sarcastic
I can’t wait to hear more about the life of an upper middle class East Asian American whose only personality trait is drinking boba tea https://t.co/SapbXLd0r2,sarcastic
Hey what's the weather like today? Am I going to need an umbrella?,sarcastic
trying to figure out how to use notion for my anime list. I think i’m dying,sarcastic
Do you think anyone on Bachelor in Paradise has seen Oscar winner Parasite?,sarcastic
"""your pronouns are what's in your pants"" ok. juicy/dumper",sarcastic
"It’s so amazing how people forget you exist until they want something from you :,)",sarcastic
2 things I love: 1. Being woken up by construction work an hour before my alarm. 2. Sarcasm.,sarcastic
How bout you dont use a gazillion filters on your pictures,sarcastic
"finished the queen's gambit, i loved a look into the 1960s in the american south with no racism just vibes",sarcastic
Wow it’s almost like we don’t nap every single day at the exact same time wow how dare I try to do the thing we do every single day!,sarcastic
@brruhia Nah bruh you just drinking it upside down 😂,sarcastic
@raerenyse Easily one of the worst and most damaging takes for both trans AND cis women I have seen thus far. Congrats on reaching new levels of awful lmao,sarcastic
@PoliticalOrgy I thing you might be on to somethink!🙄,sarcastic
"Here comes the final of the UK #DailyBriefing - who will win, Johnson or Covid?",sarcastic
"""You're not a normal white girl"" lol ok",sarcastic
Great time for sim and I to have our weekly life update.... 🌛🌜🐨 (closest thing to an owl) 💤💤💤💤💤😴,sarcastic
I love when you go to shop for plus size clothing and it's always just shoved under women's and it doesn't have any subcategories so u just have to wade thru everything like a pig being thrown slop,sarcastic
"@richardosman @GMB @susannareid100 @piersmorgan You've a book out? I hadn't realised.  Yes, you've already read this 8763 times this week, but hey.",sarcastic
Hahahah @LibertyU is shutting down the entire campus for quarantine!! Couldn’t happen to a nicer group of Covid deniers! #CovidIsNotOver #karmaisabitch #Covid_19,sarcastic
Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent 👍🏻,sarcastic
“The App Store [is]... an economic miracle” 🙄 but Apple magic not working today at #AntiTrustHearings #Apple stifles innovation that is the lifeblood of our economy. -Lucy McBath speaking some truth today #HouseJudiciary https://t.co/2swhC9daBM,sarcastic
I love how they blur out Tristan’s face in this season of the kardashians LMAO like hmmmm I wonder who that mysterious man is,sarcastic
In sunny spain at the moment!!! Hows it all in england?,sarcastic
my super power is always biting into the sour cream side of the burrito no matter what,sarcastic
if you display your pop funkos in the box then you’re a tory,sarcastic
#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome ☺️,sarcastic
"Don’t worry, 20 something people who follow me here, I brushed my hair for the first time in a week today. I know, impressive.",sarcastic
@kmflett And with a plentiful supply of rhubarb.,sarcastic
Hearing Kendrick Perkins refer to Alec Burks as Alecs Burk like he’s attorneys general &gt;&gt;&gt;&gt;,sarcastic
"Wait didn’t covid go away?? It’s after November third so it definitely should be gone now...wait...I’m confused...121,000 cases in a day? You’re telling me THE WHOLE WORLD didn’t fake a pandemic for the US election? No way...",sarcastic
We really need to remind people that universal healthcare means never needing to sit through another annual explanation of benefits meeting,sarcastic
wow. i left on time today and the airport connector is all the way backed up. love that,sarcastic
maybe i am a cyber bully,sarcastic
"""@elliekonsker: FLORIDA YOU LITERALLY HAVE ONE JOB""",sarcastic
Andrews really trying to explain to me that football and rupauls drag race aren’t the same thing when it in fact is the same thing.,sarcastic
day 5 of people being mad about ellen sitting by gw bush is when we'll finally get to the bottom of this,sarcastic
"Cool guy in a big truck honked really long at the garbage truck because it slowed down to turn; I felt he wanted everyone to know how cool he is, so I decided to tweet about it on his behalf.",sarcastic
NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND #LoveIsland,sarcastic
i’ve never had protected sex,sarcastic
"Duodenum, Jejunum, and Ilium would be cute names for triplets, don’t @ me",sarcastic
Only yelled at one person while biking home this evening. Improvement!,sarcastic
".@taylorswift13 is 100% going to post another photo with 5 holes in a fence 5 days before Lover is released, isn’t she?",sarcastic
the fact that “breaking: school shootings preventable” was an actual headline on nbc tonight is actually laughable,sarcastic
I love when I start choking on my water in my 8 person class,sarcastic
Whoop diddy scoop poop,sarcastic
@WilliamShatner Mr Shatner whilst you were sleeping you asked me to join Facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed (sic) tee-shirt - you made my Friday night sir... just awaiting your instructions so I can wire the money...,sarcastic
is it illegal to discriminate against someone on the basis that they have a joker tattoo,sarcastic
it’s been 20 hours and i want another chai latte with pumpkin cold foam i can’t afford this!,sarcastic
It would be a real shame if people shared this around and filled it with fake info. People should definitely not do that 😉 https://t.co/Px7dYqjh3I,sarcastic
"Well done Henri, cost us the win #nffc",sarcastic
I love not being pregnant so much it’s my fave thing about myself,sarcastic
@ray_harren @tkinsonn buy really rare pokemon card,sarcastic
you like ketchup but not tomatoes???  grow up,sarcastic
Big day in the Mumford house #sports day,sarcastic
@ShareZone5 @StockpickB You are a right bundle of laughs to take to the pictures Draft!,sarcastic
“If I could have changed anything about my childhood I would have never watched spongebob”  -no one,sarcastic
"#bbcqt It sure would be nice if Ms May decided to answer a question, rather than dance readily around it.",sarcastic
Does anyone not know Prince Harry got engaged? I don’t think there’s been enough in the news about it.,sarcastic
@sadgirlkali Make your husband agree to let you die first. FUN date topic for discussion,sarcastic
im ollie im 5'8 and i think my 5'7 boyfriend is short,sarcastic
"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant  Casual.",sarcastic
wow this growth spurt is really taking longer than i thought haha,sarcastic
"Quarantine Day 256: Dear Ancient Greeks, re: the blanket-wearing—I get it. #QuarantineLife",sarcastic
my bf took my off his lock screen which obvi means he’s cheating on me,sarcastic
Gonna go cry now some no face told me to lose weight x,sarcastic
'Margaret Thatcher' is trending... has 2016 taken another one?,sarcastic
"Hear me out... The lyrics in ""coney island"" should've been ""lost again with no surprises, disappointments close your EYESES""   Fixed it for you @taylorswift13 😉  #evermorealbum  @taylornation13",sarcastic
"At least half of my days are still bad days and let me tell you, i've never once killed 8 people because of it. A true miracle apparently",sarcastic
Of course the moment I front the system is in utter chaos 🥴,sarcastic
"Day 38 of quarantine is an interesting time to get a new drum kit, neighbor",sarcastic
Hate this site [CHIRPBIRDICON],sarcastic
did you know there is a direct correlation with how cool someone is and how high they cuff their pants?,sarcastic
@McDonaldsUK Would love a cheeky McDonald’s breakfast before a busy day at work would set the day off on the right foot ! 💓 #FancyAMcDonalds,sarcastic
I swear this triller event is run by teenagers,sarcastic
What kind of sins have y’all been committing for God to punish us with this kinda weather...,sarcastic
I’m really looking forward to not hugging my friends and family through choice rather than by law.,sarcastic
Men will literally fake an injury on the football field instead of going to therapy,sarcastic
I don't think Republicans have any self awareness or any idea of how the world works... Nice try though.,sarcastic
There is not enough people here #ivoryrooms,sarcastic
I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,sarcastic
WHO LET THE LAUNDRY PILE UP 5 BASKETS. Goodness.,sarcastic
Boehner not clapping for gender pay equality. COOL.,sarcastic
Drop in Center to let people get the 1st or 2nd Vaccine open today . I went thinking I was able to get my 2nd one . Wait in the que 30 mins .sits down arm ready to get !  Sorry your 12hrs to early !!!  We cannot vacinate you till 56 days !!! @NicolaSturgeon #Seriously,sarcastic
"""I'm concerned about the environmental impact of my contact lenses,"" says the occasional daily wearer, throwing their Starbucks cup in the test room bin.",sarcastic
Shout out James Boswell  #unibowl,sarcastic
@ThomasCabaret84 @MicrobiomDigest @raoult_didier Surely you’re not suggesting that their own thorough investigation of their own suspected &lt;fraud&gt; (which found no evidence for said &lt;fraud&gt;) was carried out with anything but the very  highest levels of integrity? Seems completely legit to me…,sarcastic
@xNemoooo @McDonaldsUK @tasshx Say swear you didn’t down all bev’s at Acapulco’s straight after?? 😘,sarcastic
I got called ugly on Twitter by an uneducated teen who refuses to show his face:( I’m gonna cry myself to sleep😭 I’m in gut wrenching pain!,sarcastic
"@benshapiro it’s true, every time my little cousins put on their masks they choke to death and have to be revived. it’s very stressful for us.",sarcastic
Just dislocated my fucking knee again while out on a walk 🙃🙃🙃 FAB,sarcastic
Headaches that last all day nonstop🥰😍,sarcastic
"Pissed off at @TMobile_USA and just want out of my contract, but I'm sure that would just be way too easy, ugh :(",sarcastic
Football is turning into an anatomy lesson. COOL,sarcastic
"@BIGRXD12 ah yes, people with eating disorders, famous for easily being able to not worry about their weight",sarcastic
As if I didn't know this anyway! I'm an Owl according to the #BBCBodyClock quiz – what are you? https://t.co/vM07K82CTg,sarcastic
i would kill a man for a forehead kiss rn,sarcastic
Mental shoot out ends. Silent pause. Sirens start 🚨 Always so perfectly timed 🚔🚓👍🏽 #LineOfDuty #LineofDuty6 #LOD6 #LOD,sarcastic
Love being called the devil for taking away someone’s phone at summer school🤗🤗🤗,sarcastic
everyone pls stop shooting fireworks my dog is scared :(,sarcastic
I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,sarcastic
@tedcruz @Dream worst timeline,sarcastic
@BBCAMERICA Thanks for disrupting your narrative continuity with commercial break previews. #SpoilerAlert,sarcastic
"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""love a good bit of character death on a sunday :)"" the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.",sarcastic
i went outside today and suddenly my depression is cured,sarcastic
Can’t wait to be back at uni so I can order more shoes and clothes without my mum telling me off x,sarcastic
love when the train stops in philly and everybody boards and of a sudden it smells like a ham sandwich,sarcastic
"Thanks @Tesco for not informing me that my click and collect order had been cancelled when my account says it's ready to collect my partner has had to travel unnecessarily to Stafford and we still don't have our shopping, good diet I guess having to wait for my 26th delivery slot https://t.co/xq9oXEkw8o",sarcastic
My dream is to be left alone.,sarcastic
@lora__ SHOCKED. How am I supposed to tell the kids they're not going to Disneyland on June 21st after all? It's already been cancelled 36 times! https://t.co/SV8gpPn6yw,sarcastic
@BorisJohnson @MattHancock Oh really?,sarcastic
we happy!!!!!!!!!!,sarcastic
"first day of work, and i’ve already cried on the job 👍",sarcastic
The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing,sarcastic
"Damn, imagine being vaxxed and then getting a cold and then losing your taste and smell.  Oh wait.",sarcastic
Is this first Cybex isokinetic dynamometer? @DrAndrewBateman #PRS2021,sarcastic
"how you gonna ask me how i’m doing “on this fine labor day” while you’re off, as I’m ringing you out, on labor day. how do you think i am 💀",sarcastic
apparently it’s national siblings day? idgaf 💀,sarcastic
Worked out 2 days in a row. I am quite literally the epitome of health and fitness,sarcastic
yes i have little interest in doing things that applies to me,sarcastic
If you ever wanted to know what it feels like to have dyslexia I would recommend the book House of Leaves.,sarcastic
"@DanielIngolfur @The_Timbrodini @ViQueen55 @tedcruz I know, right? He even wanted poor people to be healthy, because he was basically a fucking communist. What a hippie.",sarcastic
"@DylanPetit17 @jaredj5 Let's listen to Dylan Petit over actually doctors, biologists and epidemiologists. 🙄",sarcastic
Don't let people walk all over you. Or breathe on you. Either one.,sarcastic
Kepa had a great game,sarcastic
